Date,away_team,away_score,home_team,home_score,margin,home_win
2025-10-21,Houston Rockets,124.0,Oklahoma City Thunder,125.0,1.0,1
2025-10-21,Golden State Warriors,119.0,Los Angeles Lakers,109.0,-10.0,0
2025-10-22,Brooklyn Nets,117.0,Charlotte Hornets,136.0,19.0,1
2025-10-22,Cleveland Cavaliers,111.0,New York Knicks,119.0,8.0,1
2025-10-22,Miami Heat,121.0,Orlando Magic,125.0,4.0,1
2025-10-22,Philadelphia 76ers,117.0,Boston Celtics,116.0,-1.0,0
2025-10-22,Toronto Raptors,138.0,Atlanta Hawks,118.0,-20.0,0
2025-10-22,Detroit Pistons,111.0,Chicago Bulls,115.0,4.0,1
2025-10-22,New Orleans Pelicans,122.0,Memphis Grizzlies,128.0,6.0,1
2025-10-22,Washington Wizards,120.0,Milwaukee Bucks,133.0,13.0,1
2025-10-22,Los Angeles Clippers,108.0,Utah Jazz,129.0,21.0,1
2025-10-22,San Antonio Spurs,125.0,Dallas Mavericks,92.0,-33.0,0
2025-10-22,Minnesota Timberwolves,118.0,Portland Trail Blazers,114.0,-4.0,0
2025-10-22,Sacramento Kings,116.0,Phoenix Suns,120.0,4.0,1
2025-10-23,Oklahoma City Thunder,141.0,Indiana Pacers,135.0,-6.0,0
2025-10-23,Denver Nuggets,131.0,Golden State Warriors,137.0,6.0,1
2025-10-24,Milwaukee Bucks,122.0,Toronto Raptors,116.0,-6.0,0
2025-10-24,Atlanta Hawks,111.0,Orlando Magic,107.0,-4.0,0
2025-10-24,Cleveland Cavaliers,131.0,Brooklyn Nets,124.0,-7.0,0
2025-10-24,Boston Celtics,95.0,New York Knicks,105.0,10.0,1
2025-10-24,Detroit Pistons,115.0,Houston Rockets,111.0,-4.0,0
2025-10-24,San Antonio Spurs,120.0,New Orleans Pelicans,116.0,-4.0,0
2025-10-24,Miami Heat,146.0,Memphis Grizzlies,114.0,-32.0,0
2025-10-24,Washington Wizards,117.0,Dallas Mavericks,107.0,-10.0,0
2025-10-24,Minnesota Timberwolves,110.0,Los Angeles Lakers,128.0,18.0,1
2025-10-24,Golden State Warriors,119.0,Portland Trail Blazers,139.0,20.0,1
2025-10-24,Utah Jazz,104.0,Sacramento Kings,105.0,1.0,1
2025-10-24,Phoenix Suns,102.0,Los Angeles Clippers,129.0,27.0,1
2025-10-25,Chicago Bulls,110.0,Orlando Magic,98.0,-12.0,0
2025-10-25,Oklahoma City Thunder,117.0,Atlanta Hawks,100.0,-17.0,0
2025-10-25,Charlotte Hornets,121.0,Philadelphia 76ers,125.0,4.0,1
2025-10-25,Indiana Pacers,103.0,Memphis Grizzlies,128.0,25.0,1
2025-10-25,Phoenix Suns,111.0,Denver Nuggets,133.0,22.0,1
2025-10-26,Brooklyn Nets,107.0,San Antonio Spurs,118.0,11.0,1
2025-10-26,Boston Celtics,113.0,Detroit Pistons,119.0,6.0,1
2025-10-26,Charlotte Hornets,139.0,Washington Wizards,113.0,-26.0,0
2025-10-26,New York Knicks,107.0,Miami Heat,115.0,8.0,1
2025-10-26,Milwaukee Bucks,113.0,Cleveland Cavaliers,118.0,5.0,1
2025-10-26,Indiana Pacers,110.0,Minnesota Timberwolves,114.0,4.0,1
2025-10-26,Toronto Raptors,129.0,Dallas Mavericks,139.0,10.0,1
2025-10-26,Los Angeles Lakers,127.0,Sacramento Kings,120.0,-7.0,0
2025-10-26,Portland Trail Blazers,107.0,Los Angeles Clippers,114.0,7.0,1
2025-10-27,Cleveland Cavaliers,116.0,Detroit Pistons,95.0,-21.0,0
2025-10-27,Orlando Magic,124.0,Philadelphia 76ers,136.0,12.0,1
2025-10-27,Atlanta Hawks,123.0,Chicago Bulls,128.0,5.0,1
2025-10-27,Brooklyn Nets,109.0,Houston Rockets,137.0,28.0,1
2025-10-27,Boston Celtics,122.0,New Orleans Pelicans,90.0,-32.0,0
2025-10-27,Toronto Raptors,103.0,San Antonio Spurs,121.0,18.0,1
2025-10-27,Oklahoma City Thunder,101.0,Dallas Mavericks,94.0,-7.0,0
2025-10-27,Phoenix Suns,134.0,Utah Jazz,138.0,4.0,1
2025-10-27,Denver Nuggets,127.0,Minnesota Timberwolves,114.0,-13.0,0
2025-10-27,Memphis Grizzlies,118.0,Golden State Warriors,131.0,13.0,1
2025-10-27,Portland Trail Blazers,122.0,Los Angeles Lakers,108.0,-14.0,0
2025-10-28,Philadelphia 76ers,139.0,Washington Wizards,134.0,-5.0,0
2025-10-28,Charlotte Hornets,117.0,Miami Heat,144.0,27.0,1
2025-10-28,New York Knicks,111.0,Milwaukee Bucks,121.0,10.0,1
2025-10-28,Sacramento Kings,101.0,Oklahoma City Thunder,107.0,6.0,1
2025-10-28,Los Angeles Clippers,79.0,Golden State Warriors,98.0,19.0,1
2025-10-29,Houston Rockets,139.0,Toronto Raptors,121.0,-18.0,0
2025-10-29,Cleveland Cavaliers,105.0,Boston Celtics,125.0,20.0,1
2025-10-29,Orlando Magic,116.0,Detroit Pistons,135.0,19.0,1
2025-10-29,Atlanta Hawks,117.0,Brooklyn Nets,112.0,-5.0,0
2025-10-29,Sacramento Kings,113.0,Chicago Bulls,126.0,13.0,1
2025-10-29,Indiana Pacers,105.0,Dallas Mavericks,107.0,2.0,1
2025-10-29,Portland Trail Blazers,136.0,Utah Jazz,134.0,-2.0,0
2025-10-29,New Orleans Pelicans,88.0,Denver Nuggets,122.0,34.0,1
2025-10-29,Los Angeles Lakers,116.0,Minnesota Timberwolves,115.0,-1.0,0
2025-10-29,Memphis Grizzlies,114.0,Phoenix Suns,113.0,-1.0,0
2025-10-30,Orlando Magic,123.0,Charlotte Hornets,107.0,-16.0,0
2025-10-30,Golden State Warriors,110.0,Milwaukee Bucks,120.0,10.0,1
2025-10-30,Washington Wizards,108.0,Oklahoma City Thunder,127.0,19.0,1
2025-10-30,Miami Heat,101.0,San Antonio Spurs,107.0,6.0,1
2025-10-31,Atlanta Hawks,128.0,Indiana Pacers,108.0,-20.0,0
2025-10-31,Boston Celtics,109.0,Philadelphia 76ers,108.0,-1.0,0
2025-10-31,Toronto Raptors,112.0,Cleveland Cavaliers,101.0,-11.0,0
2025-10-31,New York Knicks,125.0,Chicago Bulls,135.0,10.0,1
2025-10-31,Los Angeles Lakers,117.0,Memphis Grizzlies,112.0,-5.0,0
2025-10-31,Utah Jazz,96.0,Phoenix Suns,118.0,22.0,1
2025-10-31,Denver Nuggets,107.0,Portland Trail Blazers,109.0,2.0,1
2025-10-31,New Orleans Pelicans,124.0,Los Angeles Clippers,126.0,2.0,1
2025-11-01,Sacramento Kings,135.0,Milwaukee Bucks,133.0,-2.0,0
2025-11-01,Minnesota Timberwolves,122.0,Charlotte Hornets,105.0,-17.0,0
2025-11-01,Golden State Warriors,109.0,Indiana Pacers,114.0,5.0,1
2025-11-01,Orlando Magic,125.0,Washington Wizards,94.0,-31.0,0
2025-11-01,Houston Rockets,128.0,Boston Celtics,101.0,-27.0,0
2025-11-01,Dallas Mavericks,110.0,Detroit Pistons,122.0,12.0,1
2025-11-02,New Orleans Pelicans,106.0,Oklahoma City Thunder,137.0,31.0,1
2025-11-02,Philadelphia 76ers,129.0,Brooklyn Nets,105.0,-24.0,0
2025-11-02,Utah Jazz,103.0,Charlotte Hornets,126.0,23.0,1
2025-11-02,Atlanta Hawks,109.0,Cleveland Cavaliers,117.0,8.0,1
2025-11-02,Memphis Grizzlies,104.0,Toronto Raptors,117.0,13.0,1
2025-11-02,Chicago Bulls,116.0,New York Knicks,128.0,12.0,1
2025-11-02,San Antonio Spurs,118.0,Phoenix Suns,130.0,12.0,1
2025-11-02,Miami Heat,120.0,Los Angeles Lakers,130.0,10.0,1
2025-11-03,Minnesota Timberwolves,125.0,Brooklyn Nets,109.0,-16.0,0
2025-11-03,Milwaukee Bucks,117.0,Indiana Pacers,115.0,-2.0,0
2025-11-03,Utah Jazz,105.0,Boston Celtics,103.0,-2.0,0
2025-11-03,Washington Wizards,102.0,New York Knicks,119.0,17.0,1
2025-11-03,Dallas Mavericks,102.0,Houston Rockets,110.0,8.0,1
2025-11-03,Detroit Pistons,114.0,Memphis Grizzlies,106.0,-8.0,0
2025-11-03,Sacramento Kings,124.0,Denver Nuggets,130.0,6.0,1
2025-11-03,Los Angeles Lakers,123.0,Portland Trail Blazers,115.0,-8.0,0
2025-11-03,Miami Heat,120.0,Los Angeles Clippers,119.0,-1.0,0
2025-11-04,Milwaukee Bucks,100.0,Toronto Raptors,128.0,28.0,1
2025-11-04,Orlando Magic,112.0,Atlanta Hawks,127.0,15.0,1
2025-11-04,Philadelphia 76ers,111.0,Chicago Bulls,113.0,2.0,1
2025-11-04,Charlotte Hornets,112.0,New Orleans Pelicans,116.0,4.0,1
2025-11-04,Phoenix Suns,107.0,Golden State Warriors,118.0,11.0,1
2025-11-04,Oklahoma City Thunder,126.0,Los Angeles Clippers,107.0,-19.0,0
2025-11-05,Philadelphia 76ers,121.0,Cleveland Cavaliers,132.0,11.0,1
2025-11-05,Utah Jazz,103.0,Detroit Pistons,114.0,11.0,1
2025-11-05,Brooklyn Nets,112.0,Indiana Pacers,103.0,-9.0,0
2025-11-05,Washington Wizards,107.0,Boston Celtics,136.0,29.0,1
2025-11-05,Minnesota Timberwolves,114.0,New York Knicks,137.0,23.0,1
2025-11-05,Houston Rockets,124.0,Memphis Grizzlies,109.0,-15.0,0
2025-11-05,New Orleans Pelicans,101.0,Dallas Mavericks,99.0,-2.0,0
2025-11-05,Miami Heat,112.0,Denver Nuggets,122.0,10.0,1
2025-11-05,San Antonio Spurs,116.0,Los Angeles Lakers,118.0,2.0,1
2025-11-05,Oklahoma City Thunder,119.0,Portland Trail Blazers,121.0,2.0,1
2025-11-05,Golden State Warriors,116.0,Sacramento Kings,121.0,5.0,1
2025-11-06,Los Angeles Clippers,102.0,Phoenix Suns,115.0,13.0,1
2025-11-07,Boston Celtics,110.0,Orlando Magic,123.0,13.0,1
2025-11-07,Cleveland Cavaliers,148.0,Washington Wizards,115.0,-33.0,0
2025-11-07,Toronto Raptors,109.0,Atlanta Hawks,97.0,-12.0,0
2025-11-07,Detroit Pistons,125.0,Brooklyn Nets,107.0,-18.0,0
2025-11-07,Houston Rockets,110.0,San Antonio Spurs,121.0,11.0,1
2025-11-07,Dallas Mavericks,104.0,Memphis Grizzlies,118.0,14.0,1
2025-11-07,Charlotte Hornets,108.0,Miami Heat,126.0,18.0,1
2025-11-07,Chicago Bulls,110.0,Milwaukee Bucks,126.0,16.0,1
2025-11-07,Utah Jazz,97.0,Minnesota Timberwolves,137.0,40.0,1
2025-11-07,Golden State Warriors,104.0,Denver Nuggets,129.0,25.0,1
2025-11-07,Oklahoma City Thunder,132.0,Sacramento Kings,101.0,-31.0,0
2025-11-08,Dallas Mavericks,111.0,Washington Wizards,105.0,-6.0,0
2025-11-08,Toronto Raptors,120.0,Philadelphia 76ers,130.0,10.0,1
2025-11-08,Los Angeles Lakers,102.0,Atlanta Hawks,122.0,20.0,1
2025-11-08,Chicago Bulls,122.0,Cleveland Cavaliers,128.0,6.0,1
2025-11-08,Portland Trail Blazers,131.0,Miami Heat,136.0,5.0,1
2025-11-08,New Orleans Pelicans,119.0,San Antonio Spurs,126.0,7.0,1
2025-11-08,Indiana Pacers,100.0,Denver Nuggets,117.0,17.0,1
2025-11-08,Phoenix Suns,114.0,Los Angeles Clippers,103.0,-11.0,0
2025-11-09,Houston Rockets,122.0,Milwaukee Bucks,115.0,-7.0,0
2025-11-09,Oklahoma City Thunder,114.0,Memphis Grizzlies,100.0,-14.0,0
2025-11-09,Brooklyn Nets,98.0,New York Knicks,134.0,36.0,1
2025-11-09,Boston Celtics,111.0,Orlando Magic,107.0,-4.0,0
2025-11-09,Detroit Pistons,111.0,Philadelphia 76ers,108.0,-3.0,0
2025-11-09,Indiana Pacers,83.0,Golden State Warriors,114.0,31.0,1
2025-11-09,Minnesota Timberwolves,144.0,Sacramento Kings,117.0,-27.0,0
2025-11-10,Los Angeles Lakers,121.0,Charlotte Hornets,111.0,-10.0,0
2025-11-10,Washington Wizards,135.0,Detroit Pistons,137.0,2.0,1
2025-11-10,Portland Trail Blazers,112.0,Orlando Magic,115.0,3.0,1
2025-11-10,Cleveland Cavaliers,138.0,Miami Heat,140.0,2.0,1
2025-11-10,San Antonio Spurs,121.0,Chicago Bulls,117.0,-4.0,0
2025-11-10,Milwaukee Bucks,116.0,Dallas Mavericks,114.0,-2.0,0
2025-11-10,New Orleans Pelicans,98.0,Phoenix Suns,121.0,23.0,1
2025-11-10,Minnesota Timberwolves,120.0,Utah Jazz,113.0,-7.0,0
2025-11-10,Atlanta Hawks,105.0,Los Angeles Clippers,102.0,-3.0,0
2025-11-11,Toronto Raptors,119.0,Brooklyn Nets,109.0,-10.0,0
2025-11-11,Memphis Grizzlies,120.0,New York Knicks,133.0,13.0,1
2025-11-11,Golden State Warriors,102.0,Oklahoma City Thunder,126.0,24.0,1
2025-11-11,Boston Celtics,100.0,Philadelphia 76ers,102.0,2.0,1
2025-11-11,Indiana Pacers,128.0,Utah Jazz,152.0,24.0,1
2025-11-11,Denver Nuggets,122.0,Sacramento Kings,108.0,-14.0,0
2025-11-12,Milwaukee Bucks,100.0,Charlotte Hornets,111.0,11.0,1
2025-11-12,Chicago Bulls,113.0,Detroit Pistons,124.0,11.0,1
2025-11-12,Orlando Magic,124.0,New York Knicks,107.0,-17.0,0
2025-11-12,Memphis Grizzlies,95.0,Boston Celtics,131.0,36.0,1
2025-11-12,Cleveland Cavaliers,130.0,Miami Heat,116.0,-14.0,0
2025-11-12,Washington Wizards,112.0,Houston Rockets,135.0,23.0,1
2025-11-12,Portland Trail Blazers,125.0,New Orleans Pelicans,117.0,-8.0,0
2025-11-12,Golden State Warriors,125.0,San Antonio Spurs,120.0,-5.0,0
2025-11-12,Phoenix Suns,123.0,Dallas Mavericks,114.0,-9.0,0
2025-11-12,Los Angeles Lakers,92.0,Oklahoma City Thunder,121.0,29.0,1
2025-11-12,Atlanta Hawks,133.0,Sacramento Kings,100.0,-33.0,0
2025-11-12,Denver Nuggets,130.0,Los Angeles Clippers,116.0,-14.0,0
2025-11-13,Toronto Raptors,126.0,Cleveland Cavaliers,113.0,-13.0,0
2025-11-13,Indiana Pacers,98.0,Phoenix Suns,133.0,35.0,1
2025-11-13,Atlanta Hawks,132.0,Utah Jazz,122.0,-10.0,0
2025-11-14,Miami Heat,132.0,New York Knicks,140.0,8.0,1
2025-11-14,Brooklyn Nets,98.0,Orlando Magic,105.0,7.0,1
2025-11-14,Philadelphia 76ers,105.0,Detroit Pistons,114.0,9.0,1
2025-11-14,Portland Trail Blazers,116.0,Houston Rockets,140.0,24.0,1
2025-11-14,Charlotte Hornets,134.0,Milwaukee Bucks,147.0,13.0,1
2025-11-14,Sacramento Kings,110.0,Minnesota Timberwolves,124.0,14.0,1
2025-11-14,Los Angeles Lakers,118.0,New Orleans Pelicans,104.0,-14.0,0
2025-11-14,Los Angeles Clippers,133.0,Dallas Mavericks,127.0,-6.0,0
2025-11-14,Golden State Warriors,109.0,San Antonio Spurs,108.0,-1.0,0
2025-11-15,Memphis Grizzlies,100.0,Cleveland Cavaliers,108.0,8.0,1
2025-11-15,Oklahoma City Thunder,109.0,Charlotte Hornets,96.0,-13.0,0
2025-11-15,Toronto Raptors,129.0,Indiana Pacers,111.0,-18.0,0
2025-11-15,Los Angeles Lakers,119.0,Milwaukee Bucks,95.0,-24.0,0
2025-11-15,Denver Nuggets,123.0,Minnesota Timberwolves,112.0,-11.0,0
2025-11-16,Los Angeles Clippers,118.0,Boston Celtics,121.0,3.0,1
2025-11-16,Sacramento Kings,110.0,San Antonio Spurs,123.0,13.0,1
2025-11-16,Brooklyn Nets,129.0,Washington Wizards,106.0,-23.0,0
2025-11-16,Orlando Magic,113.0,Houston Rockets,117.0,4.0,1
2025-11-16,Golden State Warriors,124.0,New Orleans Pelicans,106.0,-18.0,0
2025-11-16,Portland Trail Blazers,133.0,Dallas Mavericks,138.0,5.0,1
2025-11-16,Atlanta Hawks,124.0,Phoenix Suns,122.0,-2.0,0
2025-11-16,Chicago Bulls,147.0,Utah Jazz,150.0,3.0,1
2025-11-17,Milwaukee Bucks,106.0,Cleveland Cavaliers,118.0,12.0,1
2025-11-17,Indiana Pacers,112.0,Detroit Pistons,127.0,15.0,1
2025-11-17,Los Angeles Clippers,108.0,Philadelphia 76ers,110.0,2.0,1
2025-11-17,New York Knicks,113.0,Miami Heat,115.0,2.0,1
2025-11-17,Charlotte Hornets,108.0,Toronto Raptors,110.0,2.0,1
2025-11-17,Dallas Mavericks,96.0,Minnesota Timberwolves,120.0,24.0,1
2025-11-17,Oklahoma City Thunder,126.0,New Orleans Pelicans,109.0,-17.0,0
2025-11-17,Chicago Bulls,130.0,Denver Nuggets,127.0,-3.0,0
2025-11-18,Golden State Warriors,113.0,Orlando Magic,121.0,8.0,1
2025-11-18,Detroit Pistons,120.0,Atlanta Hawks,112.0,-8.0,0
2025-11-18,Boston Celtics,113.0,Brooklyn Nets,99.0,-14.0,0
2025-11-18,Memphis Grizzlies,101.0,San Antonio Spurs,111.0,10.0,1
2025-11-18,Utah Jazz,126.0,Los Angeles Lakers,140.0,14.0,1
2025-11-18,Phoenix Suns,127.0,Portland Trail Blazers,110.0,-17.0,0
2025-11-19,Houston Rockets,114.0,Cleveland Cavaliers,104.0,-10.0,0
2025-11-19,Charlotte Hornets,118.0,Indiana Pacers,127.0,9.0,1
2025-11-19,Toronto Raptors,121.0,Philadelphia 76ers,112.0,-9.0,0
2025-11-19,Golden State Warriors,96.0,Miami Heat,110.0,14.0,1
2025-11-19,Washington Wizards,109.0,Minnesota Timberwolves,120.0,11.0,1
2025-11-19,Denver Nuggets,125.0,New Orleans Pelicans,118.0,-7.0,0
2025-11-19,Sacramento Kings,99.0,Oklahoma City Thunder,113.0,14.0,1
2025-11-19,New York Knicks,113.0,Dallas Mavericks,111.0,-2.0,0
2025-11-19,Chicago Bulls,122.0,Portland Trail Blazers,121.0,-1.0,0
2025-11-20,Los Angeles Clippers,101.0,Orlando Magic,129.0,28.0,1
2025-11-20,Sacramento Kings,96.0,Memphis Grizzlies,137.0,41.0,1
2025-11-20,Philadelphia 76ers,123.0,Milwaukee Bucks,114.0,-9.0,0
2025-11-20,Atlanta Hawks,126.0,San Antonio Spurs,135.0,9.0,1
2025-11-21,Indiana Pacers,109.0,Cleveland Cavaliers,120.0,11.0,1
2025-11-21,Brooklyn Nets,113.0,Boston Celtics,105.0,-8.0,0
2025-11-21,Washington Wizards,110.0,Toronto Raptors,140.0,30.0,1
2025-11-21,Miami Heat,143.0,Chicago Bulls,107.0,-36.0,0
2025-11-21,New Orleans Pelicans,115.0,Dallas Mavericks,118.0,3.0,1
2025-11-21,Minnesota Timberwolves,113.0,Phoenix Suns,114.0,1.0,1
2025-11-21,Denver Nuggets,112.0,Houston Rockets,109.0,-3.0,0
2025-11-21,Portland Trail Blazers,127.0,Golden State Warriors,123.0,-4.0,0
2025-11-21,Oklahoma City Thunder,144.0,Utah Jazz,112.0,-32.0,0
2025-11-22,Los Angeles Clippers,131.0,Charlotte Hornets,116.0,-15.0,0
2025-11-22,New York Knicks,121.0,Orlando Magic,133.0,12.0,1
2025-11-22,Atlanta Hawks,115.0,New Orleans Pelicans,98.0,-17.0,0
2025-11-22,Washington Wizards,120.0,Chicago Bulls,121.0,1.0,1
2025-11-22,Detroit Pistons,129.0,Milwaukee Bucks,116.0,-13.0,0
2025-11-22,Memphis Grizzlies,102.0,Dallas Mavericks,96.0,-6.0,0
2025-11-22,Sacramento Kings,128.0,Denver Nuggets,123.0,-5.0,0
2025-11-23,Miami Heat,127.0,Philadelphia 76ers,117.0,-10.0,0
2025-11-23,Charlotte Hornets,110.0,Atlanta Hawks,113.0,3.0,1
2025-11-23,Orlando Magic,129.0,Boston Celtics,138.0,9.0,1
2025-11-23,Los Angeles Clippers,105.0,Cleveland Cavaliers,120.0,15.0,1
2025-11-23,Brooklyn Nets,109.0,Toronto Raptors,119.0,10.0,1
2025-11-23,Portland Trail Blazers,95.0,Oklahoma City Thunder,122.0,27.0,1
2025-11-23,San Antonio Spurs,102.0,Phoenix Suns,111.0,9.0,1
2025-11-23,Los Angeles Lakers,108.0,Utah Jazz,106.0,-2.0,0
2025-11-24,Detroit Pistons,122.0,Indiana Pacers,117.0,-5.0,0
2025-11-24,Cleveland Cavaliers,99.0,Toronto Raptors,110.0,11.0,1
2025-11-24,New York Knicks,113.0,Brooklyn Nets,100.0,-13.0,0
2025-11-24,Dallas Mavericks,102.0,Miami Heat,106.0,4.0,1
2025-11-24,Denver Nuggets,125.0,Memphis Grizzlies,115.0,-10.0,0
2025-11-24,Portland Trail Blazers,115.0,Milwaukee Bucks,103.0,-12.0,0
2025-11-24,Chicago Bulls,130.0,New Orleans Pelicans,143.0,13.0,1
2025-11-24,Houston Rockets,114.0,Phoenix Suns,92.0,-22.0,0
2025-11-24,Utah Jazz,117.0,Golden State Warriors,134.0,17.0,1
2025-11-24,Minnesota Timberwolves,112.0,Sacramento Kings,117.0,5.0,1
2025-11-25,Atlanta Hawks,113.0,Washington Wizards,132.0,19.0,1
2025-11-25,Orlando Magic,144.0,Philadelphia 76ers,103.0,-41.0,0
2025-11-25,Los Angeles Clippers,118.0,Los Angeles Lakers,135.0,17.0,1
2025-11-26,Detroit Pistons,114.0,Boston Celtics,117.0,3.0,1
2025-11-26,New York Knicks,129.0,Charlotte Hornets,101.0,-28.0,0
2025-11-26,Milwaukee Bucks,103.0,Miami Heat,106.0,3.0,1
2025-11-26,Minnesota Timberwolves,105.0,Oklahoma City Thunder,113.0,8.0,1
2025-11-26,Indiana Pacers,95.0,Toronto Raptors,97.0,2.0,1
2025-11-26,Memphis Grizzlies,133.0,New Orleans Pelicans,128.0,-5.0,0
2025-11-26,Houston Rockets,104.0,Golden State Warriors,100.0,-4.0,0
2025-11-26,San Antonio Spurs,115.0,Portland Trail Blazers,102.0,-13.0,0
2025-11-26,Phoenix Suns,112.0,Sacramento Kings,100.0,-12.0,0
2025-11-28,Cleveland Cavaliers,123.0,Atlanta Hawks,130.0,7.0,1
2025-11-28,Philadelphia 76ers,115.0,Brooklyn Nets,103.0,-12.0,0
2025-11-28,Chicago Bulls,116.0,Charlotte Hornets,123.0,7.0,1
2025-11-28,Orlando Magic,112.0,Detroit Pistons,109.0,-3.0,0
2025-11-28,Washington Wizards,86.0,Indiana Pacers,119.0,33.0,1
2025-11-28,Milwaukee Bucks,109.0,New York Knicks,118.0,9.0,1
2025-11-28,San Antonio Spurs,139.0,Denver Nuggets,136.0,-3.0,0
2025-11-28,Phoenix Suns,119.0,Oklahoma City Thunder,123.0,4.0,1
2025-11-28,Sacramento Kings,119.0,Utah Jazz,128.0,9.0,1
2025-11-28,Memphis Grizzlies,112.0,Los Angeles Clippers,107.0,-5.0,0
2025-11-28,Dallas Mavericks,119.0,Los Angeles Lakers,129.0,10.0,1
2025-11-29,Boston Celtics,115.0,Minnesota Timberwolves,119.0,4.0,1
2025-11-29,Toronto Raptors,111.0,Charlotte Hornets,118.0,7.0,1
2025-11-29,Chicago Bulls,101.0,Indiana Pacers,103.0,2.0,1
2025-11-29,Detroit Pistons,138.0,Miami Heat,135.0,-3.0,0
2025-11-29,Brooklyn Nets,99.0,Milwaukee Bucks,116.0,17.0,1
2025-11-29,New Orleans Pelicans,96.0,Golden State Warriors,104.0,8.0,1
2025-11-29,Denver Nuggets,130.0,Phoenix Suns,112.0,-18.0,0
2025-11-29,Dallas Mavericks,114.0,Los Angeles Clippers,110.0,-4.0,0
2025-11-30,Houston Rockets,129.0,Utah Jazz,101.0,-28.0,0
2025-11-30,Boston Celtics,117.0,Cleveland Cavaliers,115.0,-2.0,0
2025-11-30,Toronto Raptors,94.0,New York Knicks,116.0,22.0,1
2025-11-30,Atlanta Hawks,142.0,Philadelphia 76ers,134.0,-8.0,0
2025-11-30,Oklahoma City Thunder,123.0,Portland Trail Blazers,115.0,-8.0,0
2025-11-30,San Antonio Spurs,112.0,Minnesota Timberwolves,125.0,13.0,1
2025-11-30,Memphis Grizzlies,115.0,Sacramento Kings,107.0,-8.0,0
2025-11-30,New Orleans Pelicans,121.0,Los Angeles Lakers,133.0,12.0,1
2025-12-01,Atlanta Hawks,98.0,Detroit Pistons,99.0,1.0,1
2025-12-01,Cleveland Cavaliers,135.0,Indiana Pacers,119.0,-16.0,0
2025-12-01,Milwaukee Bucks,126.0,Washington Wizards,129.0,3.0,1
